DATE,IPG3113N
1991-05-01,82.5704
1991-06-01,89.3425
1991-07-01,87.1736
1991-08-01,95.6139
1991-09-01,96.8585
1991-10-01,108.2228
1991-11-01,112.8338
1991-12-01,109.0885
1992-01-01,91.0768
1992-02-01,89.7382
1992-03-01,82.8433
1992-04-01,80.2884
1992-05-01,78.2107
1992-06-01,80.8736
1992-07-01,80.2405
1992-08-01,83.7114
1992-09-01,90.6001
1992-10-01,103.4987
1992-11-01,106.2795
1992-12-01,105.6933
1993-01-01,91.4402
1993-02-01,89.0400
1993-03-01,82.5602
1993-04-01,78.0422
1993-05-01,77.0421
1993-06-01,82.6051
1993-07-01,83.3924
1993-08-01,90.1092
1993-09-01,94.6440
1993-10-01,108.7526
1993-11-01,108.7244
1993-12-01,106.9482
1994-01-01,91.7524
1994-02-01,87.7553
1994-03-01,85.7803
1994-04-01,77.8038
1994-05-01,75.7888
1994-06-01,81.6966
1994-07-01,84.0150
1994-08-01,89.7018
1994-09-01,95.6028
1994-10-01,107.1981
1994-11-01,107.2991
1994-12-01,108.8635
1995-01-01,93.8130
1995-02-01,86.4210
1995-03-01,83.7814
1995-04-01,82.1008
1995-05-01,81.5173
1995-06-01,85.6057
1995-07-01,85.5563
1995-08-01,89.0864
1995-09-01,93.3887
1995-10-01,104.9012
1995-11-01,107.9145
1995-12-01,112.3126
1996-01-01,90.7757
1996-02-01,91.9620
1996-03-01,89.6658
1996-04-01,82.5944
1996-05-01,84.5454
1996-06-01,87.4580
1996-07-01,85.5976
1996-08-01,94.1371
1996-09-01,99.9498
1996-10-01,109.9215
1996-11-01,116.5438
1996-12-01,118.5477
1997-01-01,96.3302
1997-02-01,95.4778
1997-03-01,92.7792
1997-04-01,85.4795
1997-05-01,84.8053
1997-06-01,88.4703
1997-07-01,85.6397
1997-08-01,95.8062
1997-09-01,100.2353
1997-10-01,112.8543
1997-11-01,117.7892
1997-12-01,118.5506
1998-01-01,104.3874
1998-02-01,102.1280
1998-03-01,96.5675
1998-04-01,92.5032
1998-05-01,93.3184
1998-06-01,96.5524
1998-07-01,94.9437
1998-08-01,102.4789
1998-09-01,105.3024
1998-10-01,115.5190
1998-11-01,119.2770
1998-12-01,118.3828
1999-01-01,102.2061
1999-02-01,99.8688
1999-03-01,93.2647
1999-04-01,92.5500
1999-05-01,93.9195
1999-06-01,94.3611
1999-07-01,93.9130
1999-08-01,98.0045
1999-09-01,101.6162
1999-10-01,114.6882
1999-11-01,114.7902
1999-12-01,117.2326
2000-01-01,107.2709
2000-02-01,104.3159
2000-03-01,99.2677
2000-04-01,101.0038
2000-05-01,94.7037
2000-06-01,99.4793
2000-07-01,97.4440
2000-08-01,102.6935
2000-09-01,109.4413
2000-10-01,119.1665
2000-11-01,118.1380
2000-12-01,120.8138
2001-01-01,106.7677
2001-02-01,106.1691
2001-03-01,103.3040
2001-04-01,99.9084
2001-05-01,98.3750
2001-06-01,100.4648
2001-07-01,98.8585
2001-08-01,104.2468
2001-09-01,107.5864
2001-10-01,109.3390
2001-11-01,112.1252
2001-12-01,112.9294
2002-01-01,102.3932
2002-02-01,99.7542
2002-03-01,96.0667
2002-04-01,91.1760
2002-05-01,88.7004
2002-06-01,97.7306
2002-07-01,96.1552
2002-08-01,102.3720
2002-09-01,104.0859
2002-10-01,108.0602
2002-11-01,112.0214
2002-12-01,108.2017
2003-01-01,98.4944
2003-02-01,96.8894
2003-03-01,96.9284
2003-04-01,91.6461
2003-05-01,93.7844
2003-06-01,97.3065
2003-07-01,89.6133
2003-08-01,98.5597
2003-09-01,101.7256
2003-10-01,108.9878
2003-11-01,115.5791
2003-12-01,112.0933
2004-01-01,101.0838
2004-02-01,102.3611
2004-03-01,90.3897
2004-04-01,88.9165
2004-05-01,95.5536
2004-06-01,92.5340
2004-07-01,92.4154
2004-08-01,101.2785
2004-09-01,105.2464
2004-10-01,115.3788
2004-11-01,116.1554
2004-12-01,113.4439
2005-01-01,108.7251
2005-02-01,108.1708
2005-03-01,93.6097
2005-04-01,93.1854
2005-05-01,97.2046
2005-06-01,93.4404
2005-07-01,96.0209
2005-08-01,99.9764
2005-09-01,104.1837
2005-10-01,119.2862
2005-11-01,118.5207
2005-12-01,121.4931
2006-01-01,102.6370
2006-02-01,102.1851
2006-03-01,94.0168
2006-04-01,93.3011
2006-05-01,88.5092
2006-06-01,88.5518
2006-07-01,88.4694
2006-08-01,97.5824
2006-09-01,104.4803
2006-10-01,113.2111
2006-11-01,114.0001
2006-12-01,115.5428
2007-01-01,106.6046
2007-02-01,101.9948
2007-03-01,98.5466
2007-04-01,86.9092
2007-05-01,85.5731
2007-06-01,82.6857
2007-07-01,79.4587
2007-08-01,87.4773
2007-09-01,95.5824
2007-10-01,100.6125
2007-11-01,102.7604
2007-12-01,104.7423
2008-01-01,94.4172
2008-02-01,88.4228
2008-03-01,84.5205
2008-04-01,79.9479
2008-05-01,77.4640
2008-06-01,77.6006
2008-07-01,74.2521
2008-08-01,77.2732
2008-09-01,90.1025
2008-10-01,99.4744
2008-11-01,101.0110
2008-12-01,88.6774
2009-01-01,78.3008
2009-02-01,77.4710
2009-03-01,74.4639
2009-04-01,69.3533
2009-05-01,69.8173
2009-06-01,69.2242
2009-07-01,71.6405
2009-08-01,77.5501
2009-09-01,88.1444
2009-10-01,107.8255
2009-11-01,102.1148
2009-12-01,101.6883
2010-01-01,87.5847
2010-02-01,86.3923
2010-03-01,80.2251
2010-04-01,78.0406
2010-05-01,78.4252
2010-06-01,77.9799
2010-07-01,84.0023
2010-08-01,92.9401
2010-09-01,100.8258
2010-10-01,109.8820
2010-11-01,102.4298
2010-12-01,103.3252
2011-01-01,89.6902
2011-02-01,89.2532
2011-03-01,86.1577
2011-04-01,84.9045
2011-05-01,79.5525
2011-06-01,78.1130
2011-07-01,78.0761
2011-08-01,80.0673
2011-09-01,81.8416
2011-10-01,101.7732
2011-11-01,101.8423
2011-12-01,100.2207
2012-01-01,87.1751
2012-02-01,86.3869
2012-03-01,82.1237
2012-04-01,76.4916
2012-05-01,74.4359
2012-06-01,75.4866
2012-07-01,78.0103
2012-08-01,85.5945
2012-09-01,97.6757
2012-10-01,99.8851
2012-11-01,100.8169
2012-12-01,100.7917
2013-01-01,92.8618
2013-02-01,88.4557
2013-03-01,88.9702
2013-04-01,82.6481
2013-05-01,79.6017
2013-06-01,79.7192
2013-07-01,80.3594
2013-08-01,87.3992
2013-09-01,92.0600
2013-10-01,102.5767
2013-11-01,106.5066
2013-12-01,108.1032
2014-01-01,91.8395
2014-02-01,91.3793
2014-03-01,88.8781
2014-04-01,81.7580
2014-05-01,77.6318
2014-06-01,78.3296
2014-07-01,77.0086
2014-08-01,85.4370
2014-09-01,92.7151
2014-10-01,103.4341
2014-11-01,110.9542
2014-12-01,110.0602
2015-01-01,93.7278
2015-02-01,92.5349
2015-03-01,90.2956
2015-04-01,85.5588
2015-05-01,81.9278
2015-06-01,85.4737
2015-07-01,87.4351
2015-08-01,99.0884
2015-09-01,99.8553
2015-10-01,110.3177
2015-11-01,109.3500
2015-12-01,106.4337
2016-01-01,97.1381
2016-02-01,97.9373
2016-03-01,98.4039
2016-04-01,95.0640
2016-05-01,93.3674
2016-06-01,93.8016
2016-07-01,94.3264
2016-08-01,96.2465
2016-09-01,101.3212
2016-10-01,111.2202
2016-11-01,108.1240
2016-12-01,107.5821
2017-01-01,100.4838
2017-02-01,103.5526
2017-03-01,95.2292
2017-04-01,96.9955
2017-05-01,91.2686
2017-06-01,92.9657
2017-07-01,90.4139
2017-08-01,100.6994
2017-09-01,106.6430
2017-10-01,106.8368
2017-11-01,105.1142
2017-12-01,109.7973
2018-01-01,99.8976
2018-02-01,101.7190
2018-03-01,97.5534
2018-04-01,97.1085
2018-05-01,93.2324
2018-06-01,90.6532
2018-07-01,90.7729
2018-08-01,97.0002
2018-09-01,105.9569
2018-10-01,105.5754
2018-11-01,106.2174
2018-12-01,111.7044
2019-01-01,102.6241
2019-02-01,103.4952
2019-03-01,102.7935
2019-04-01,96.9581
2019-05-01,93.4120
2019-06-01,93.7607
2019-07-01,91.2275
2019-08-01,99.0686
2019-09-01,107.5354
2019-10-01,108.4035
2019-11-01,111.3411
2019-12-01,114.2320
2020-01-01,98.5054
2020-02-01,100.6342
2020-03-01,94.8233
2020-04-01,79.8951
2020-05-01,81.3688
2020-06-01,84.3634
2020-07-01,87.9214
2020-08-01,97.0128
2020-09-01,102.7201
2020-10-01,110.9377
2020-11-01,113.1512
2020-12-01,114.6063
2021-01-01,107.4552
2021-02-01,99.0244
2021-03-01,99.4753
2021-04-01,92.0867
2021-05-01,91.7233
2021-06-01,92.1248
2021-07-01,89.2444
2021-08-01,97.8645
